ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Best Soil Types
3527,Khesari,20.8,48,20.9,22.9,434.1,43.4,7.82,Alluvial
3528,Lentil,24.9,46.7,27.9,24.26,633.4,52.5,6.54,Loamy
3529,Pomegranate,90.8,55.4,93.8,22.25,717.9,41.7,7.16,Saline
3530,Kodo Millet,39.5,21.9,20.7,31.39,410.4,38.8,7.33,Red
3531,Muskmelon,74.7,71.7,90.4,28.16,597.5,49.9,6.54,Sandy
3532,Kinnow,107.4,67.4,80.5,27.85,1182.3,50.8,6.24,Alluvial
3533,Pumpkin,63.1,59.7,64.4,34.56,667.2,60.9,6.53,Alluvial
3534,Coffee,100.4,53.3,129.2,24.76,1942.1,76.9,6.38,Red
3535,Kalmegh,59.7,40.6,41.9,26.25,1678.4,67.1,6.83,Forest
3536,Gokhru,31.7,23.5,35.5,29.99,563.2,47.1,7.08,Arid/Desert
3537,Clove,98.4,50.3,85.9,27.35,3190.5,84.7,6.46,Coastal
3538,Coconut,179.7,300,1,32.86,2641.5,90,5.87,Alluvial
3539,Stevia,91.1,66.1,78.3,16.54,1312.9,70.8,6.12,Loamy
3540,Mango,114.9,59.1,118.6,31.67,1297.4,56.6,7.21,Alluvial
3541,Betel Vine,196.7,137.2,104,30.86,2223.1,93.4,6.4,Alluvial
3542,Strawberry,126.6,109.4,146.8,2.06,802.8,67.9,6.18,Forest/Mountain
3543,Jowar,84.6,42.2,41.4,26.81,689.4,43.3,7.95,Loamy
3544,Horse Gram,29.9,31.6,29.2,23.66,614.8,51.7,7.2,Laterite
3545,Date Palm,98,43.9,81.9,37.23,226.5,34.6,8.97,Arid/Desert
3546,Jackfruit,85.9,51.5,93.2,22.92,2426.1,81.3,5.19,Red
3547,Ber,52.5,39.6,45.8,29.75,541.4,48.2,7.69,Sandy
3548,Niger Seed,53.8,59.1,39.5,18.36,885.7,58.1,5.86,Red
3549,Tea,127.4,31.3,74,16.45,2732.5,77.3,5.14,Forest
3550,Onion,105.6,63.5,80.8,23.11,792.8,60.3,6.49,Loamy
3551,Guava,68,44.3,72.5,25.75,1032.8,71.1,7.17,Loamy
3552,Jasmine,117,106.8,116.5,23.3,1792.8,70.5,6.64,Red
3553,Shatavari,42.6,48.8,53.3,24.14,642.2,73.8,6.99,Red
3554,Arecanut,114.3,45.3,163.2,27.16,3002.2,76,6.97,Coastal
3555,Amaranth,52.6,37.9,35.8,20.51,543.6,69.6,6.29,Alluvial
3556,Isabgol,49.7,38.9,37.7,21.37,402.2,49.5,7.44,Alluvial
3557,Kiwi,150,65.7,108,24.16,1159.9,62.7,6.31,Sub-Montane
3558,Cardamom,81.7,98.2,163.5,16.61,2534.7,92.8,5.59,Red
3559,Bajra,73.3,34.8,37.8,37.62,530.7,43.4,8.49,Arid/Desert
3560,Mace,64,50.8,92.2,21.79,3022,84.8,5.99,Laterite
3561,Karakunda,60.1,48.3,40.9,27.31,1882.9,69.2,6.28,Mountain
3562,Fig,65.4,54,88.4,23.74,520.1,42.3,7.14,Alluvial
3563,Lentil,20.7,48.9,27.9,21.01,554.6,40.7,6.52,Loamy
3564,Oil Palm,180.5,108.8,227.1,32.93,2851.9,94.9,6.33,Coastal
3565,Okra,114.2,52.6,56.3,25.05,884.8,64,6.34,Alluvial
3566,Custard Apple,40.3,31,48.3,24.03,831.2,74.2,6.22,Gravelly
3567,Sweet Potato,61.2,40.5,117.2,29.73,978.9,80.1,6.38,Alluvial
3568,Muskmelon,64.5,72.8,81.1,31.43,508.5,59.4,6.79,Sandy
3569,Tea (Clone),177.7,47.7,61.7,20.77,2618.9,80.3,5.21,Red
3570,Kiwi,134.3,73.1,111.7,23.79,1497.1,60.9,5.97,Mountain
3571,Wheat,118.8,65,49.2,19.99,629.4,49.8,6.47,Black
3572,Plum,141.3,68.3,93.5,5.25,1116.2,67,5.82,Loamy
3573,Banana,187,71.8,268.5,23.57,2341.5,79.8,7.77,Loamy
3574,Hemp (Mesta),76.9,39.2,57.5,24.96,943.6,83.1,7.47,Laterite
3575,Green Gram,25,46.7,24.5,31.72,638.9,46.7,6.87,Loamy
3576,Grapes,118.8,166.6,271.3,26.32,767.3,53,6.8,Loamy
3577,Niger Seed,46.8,45.8,37.5,22.67,615.9,55.3,5.95,Gravelly
3578,Oil Palm,197.9,104.5,164.6,33.71,2957.9,85.5,5.65,Coastal
3579,Kiwi,134.8,63.2,136.1,10.3,1199.1,71.9,5.95,Mountain
3580,Pineapple,145.4,51.8,111.8,20.55,1873.3,77.5,4.96,Laterite
3581,Dragon Fruit,72,59.1,86.4,20.24,740.1,58.3,5.87,Sandy
3582,Niger Seed,56.6,42.4,33.6,27.51,630,62.8,6.74,Red
3583,Bitter Gourd,69.6,56.7,79.2,34.96,632.1,68.1,6.9,Alluvial
3584,Wood Apple,41.9,43.7,41.4,39.2,694.2,43.5,8.37,Alluvial
3585,Cotton,109.5,52.9,60.9,25.29,942.8,50.8,6.03,Black (Regur)
3586,Hemp (Mesta),69.4,32.6,50.8,30.6,806.3,77.2,6.63,Alluvial
3587,Buckwheat,43.7,23.7,39.6,11.43,536.3,57,6.49,Forest/Mountain
3588,Green Gram,21.3,42.5,31.5,31.9,634.5,57.2,6.89,Loamy
3589,Cauliflower,143.7,82.3,90.5,20.45,735.7,77,6.25,Alluvial
3590,Sweet Potato,64.9,41.8,134.9,20.2,950.3,76.8,6,Loamy
3591,Ragi,66,36.3,38.7,24.52,555,66.3,7.83,Loamy
3592,Almonds,151.3,89,132.1,-0.67,775,41,7.25,Arid
3593,Mace,70.8,52.7,84.7,30.78,2561.4,79.2,6.77,Laterite
3594,Chili,104.8,74.7,60.2,28.73,1057.3,65.9,6.37,Loamy
3595,Mustard,94.8,43.1,37.7,20.66,571.7,57.8,6.11,Alluvial
3596,Tamarind,47.7,31.8,69.7,25.39,659.7,73.2,7.05,Gravelly
3597,Coconut,475.9,300,1,31.53,2388.3,90.6,6.37,Sandy
3598,Banana,188.9,87.9,289.2,25.55,2652.2,86.4,7.1,Loamy
3599,Ridge Gourd,78.5,54.3,70.4,33.57,555.8,65.3,6.83,Alluvial
3600,Potato,166,140.1,166.6,16.74,626.3,68.7,5.94,Peaty
3601,Dragon Fruit,74.7,50.7,96.3,26.74,738.6,55.3,6.02,Sandy
3602,Cardamom,86.6,87.7,185.5,19.22,2551,93.4,5.02,Laterite
3603,Rubber,109.6,66.3,94.8,29.7,2398.9,93.2,5.14,Laterite
3604,Buckwheat,59.1,27.1,37.9,-0.48,779.1,67.6,5.22,Sub-Montane
3605,Apricot,141.8,65.8,91.4,18.51,928.8,58.2,7.22,Mountain
3606,Jasmine,107.1,111.9,107,24.41,1488.3,71,6.23,Red
3607,Mentha,125.2,57.2,50.8,26.71,1359.2,72.3,7.38,Loamy
3608,Groundnut,25.4,74.3,55.7,27.45,653.9,58.5,6.81,Sandy
3609,Banana,231.7,82.6,236.3,24.2,1674.1,76.6,7.74,Loamy
3610,Kinnow,136.6,66.9,110.9,20.21,1024.4,63.4,6.3,Alluvial
3611,Maize (Corn),111.7,70.9,42.6,29.78,944.6,71.1,7.21,Red
3612,Coffee,118.7,45.4,119.5,18.25,1569,83.2,5.85,Forest
3613,Arecanut,143.3,48.5,151.8,24.1,2940.3,71.7,5.43,Red
3614,Chili,104.9,75.6,62.2,20.02,815.7,66.4,7.09,Black
3615,Grapes,140.5,164.8,239,29.4,628,72.9,7.89,Alluvial
3616,Star Anise,61.1,48.2,40.2,25.99,1581.9,79.7,5.65,Mountain
3617,Jowar,80.1,44.3,43.9,29.09,496.7,44.1,6.16,Alluvial
3618,Kiwi,144.5,68,138.9,6.85,1364,63.4,6.05,Forest
3619,Turmeric,117.2,71.5,105,23.22,1553.3,74.5,5.86,Alluvial
3620,Sweet Potato,71.2,58.6,140.9,22.37,1171.9,81.5,6.76,Sandy
3621,Cashew Nut,74,36.3,50.9,27.2,1972.1,78.5,6.96,Red
3622,Aloe Vera,27.9,34.7,31.9,24.66,330.2,40.3,8.26,Saline
3623,Cotton,139.7,54.6,64.8,33.7,925.7,62.6,8.49,Laterite
3624,Mulberry,250.8,132.8,122.2,23.08,849.6,74.8,7.07,Red
3625,Bamboo,160.8,72.8,124.8,24.94,1642.2,74.3,6.29,Alluvial
3626,Mulberry,165.6,129.6,121.6,27.4,1464.6,62.1,7.02,Black
3627,Ragi,66.1,38.5,34.1,21.83,710.7,70.2,6.56,Red
3628,Ash Gourd,64.5,55.6,63.8,34.93,777.1,71.7,7.06,Sandy Loam
3629,Apple,190.7,107.6,161.1,13.7,991.6,69,6.05,Mountain
3630,Toria,64.9,46.6,22,21.39,501.9,64.3,6.75,Loamy
3631,Taramira,55.2,39.1,23.6,21.89,402.9,36.9,8.25,Sandy
3632,Jowar,89.4,44.7,45.6,33.42,582.2,44,7.73,Alluvial
3633,Linseed,71.6,46.6,31.9,15.96,613.7,52.2,6.47,Black
3634,Apricot,120.2,66.4,108.5,-2.08,979.9,66.6,6.38,Forest
3635,Aloe Vera,25.7,33.4,39.1,24.85,301.2,32.9,8.1,Saline
3636,Ragi,61,33.5,36.9,26.79,634.6,74.1,7.48,Laterite
3637,Tomato,148.3,93.3,139.3,19.73,891.1,76.3,6.89,Red
3638,Rubber,103.3,69.1,91,26.66,3910.4,87.6,5.81,Laterite
3639,Coriander,74.6,42.6,47.4,19.97,446,68.3,7.9,Alluvial
3640,Tulsi,77.9,46.9,46.9,25.57,1244.7,72,6.99,Loamy
3641,Mentha,126.1,57.9,52.4,30.76,1158.5,74,6.82,Alluvial
3642,Gokhru,36.2,31.3,28.5,27.6,354.9,35.2,8.19,Arid/Desert
3643,Tea,170.7,34.9,81.5,24.92,2710.8,92.4,5.02,Red
3644,Peach,133,78.2,117.8,19.6,721.2,56.2,5.89,Forest
3645,Mentha,122,51.2,51,20.44,1494.8,78,6.65,Peaty
3646,Green Gram,20.6,48.1,25.4,29.12,503.1,61.3,6.98,Alluvial
3647,Mulberry,247.5,123.4,136.8,30.02,1242.6,62.8,7.11,Red
3648,Onion,105.1,74.7,118.8,23.27,650.6,53.8,6.62,Black
3649,Brahmi,76.6,44.2,49.8,21.1,2034.1,85,6.85,Alluvial
3650,Stevia,89,73,65,23.04,1476.3,77.6,6.23,Red
3651,Gokhru,35.4,20.7,27.2,24.55,392.5,41.9,8.04,Sandy
3652,Neem,40.2,35.3,47.2,23.86,1169.7,45.9,8.06,Saline
3653,Rapeseed,84.6,42.1,37.3,7.59,590.1,45.3,6.97,Loamy
3654,Vanilla,80.3,54.1,80.5,28.87,2195.4,77.1,5.8,Red
3655,Guava,67.2,44.7,86,22.73,1502.2,56.5,6.34,Loamy
3656,Fennel,94.7,49.5,52.4,20.36,588.4,61.2,7.48,Alluvial
3657,Lemongrass,72.7,52.7,56.5,31.78,1956.1,82.3,7.35,Alluvial
3658,Marigold,63.9,71.6,63.4,28.44,657.7,75.4,6.93,Loamy
3659,Lemongrass,66.9,53.9,46.4,28.69,2253.7,80.1,6.3,Red
3660,Guar Seed,24.2,43.2,24.9,32.84,471.6,39.2,7.05,Arid/Desert
3661,Grapes,140.2,175.9,282.7,29.57,501.9,69,6.64,Sandy
3662,Coconut,103.6,300,1,22.71,2710.1,80.6,6.8,Alluvial
3663,Cherry,143.6,92.2,124.4,-4.65,940.6,65.5,6.74,Forest
3664,Jowar,84.5,46.3,47.3,29.34,442,44.4,6.62,Alluvial
3665,Taramira,44.9,32.7,29.6,19.85,341.2,46,7.88,Sandy
3666,Mustard,87.6,58.3,21.7,16.27,440.5,60.4,7.46,Alluvial
3667,Little Millet,34.5,23.7,23,31.88,546.2,45.9,6.47,Red
3668,Mulberry,170.3,142.4,126.6,30.63,1319.6,75.1,7.37,Red
3669,Dragon Fruit,76.3,51.8,97.7,30.37,673.8,62.5,6.94,Sandy
3670,Niger Seed,55.9,49.2,33.6,19.53,971.2,67.4,7.12,Laterite
3671,Radish,60.7,50.8,65.9,19.47,517.1,52.9,6.07,Sandy Loam
3672,Sapota,115,79.1,113.2,21.37,1205.6,70.9,7.02,Red
3673,Oats,91.4,48.5,42.5,21.12,837.3,62.2,7.46,Loamy
3674,Khesari,22.2,40.9,28.3,27.91,479.7,51.5,7.78,Alluvial
3675,Strawberry,103.7,85.6,138.2,19.37,681.7,69.5,5.58,Forest/Mountain
3676,Walnuts,186.4,99.5,148.5,-2.32,976.6,58.2,7.01,Mountain
3677,Isabgol,40.8,30.3,33.2,23.83,354.4,51.5,7.72,Sandy Loam
3678,Ashwagandha,40,48.3,26,37.01,552.9,40.6,8.48,Sandy Loam
3679,Horse Gram,24.2,38.3,28.1,21.61,554.1,59.7,7.37,Red
3680,Pear,132.2,69.9,118.8,17.25,1026.7,63.7,6.8,Mountain
3681,Niger Seed,40.7,58.1,31,27.98,671.3,66.3,7.18,Laterite
3682,Little Millet,38.8,22.3,21.5,26.71,539.5,51.9,6.71,Sandy
3683,Coffee,132.8,58.6,109.4,18.04,1889,75.9,5.55,Forest
3684,Stevia,95.8,68.9,79,24.81,1542.7,78.9,6.12,Alluvial
3685,Maize (Corn),121.1,68,53.2,24.83,526.2,64,6.6,Forest
3686,Green Gram,25.6,43.2,28.5,34.28,792.9,45.5,6.76,Red
3687,Bamboo,139.7,65.3,145.1,24.97,2250.5,76,5.16,Forest
3688,Oil Palm,176.6,105.2,216.2,28.26,3234.7,91.8,6.15,Alluvial
3689,Stevia,97.3,68.3,70.6,21.72,1237.7,88.9,6.33,Loamy
3690,Walnuts,154.2,105,146.1,-0.77,916.8,67.3,6.03,Mountain
3691,Fennel,96.3,41.5,53.3,20.46,636,56.3,7.12,Alluvial
3692,Guava,67.3,50.9,86.8,32.12,1134.8,59.1,6.74,Red
3693,Potato,147,101.6,199.7,24.58,502.6,60.6,5.05,Peaty
3694,Muskmelon,63.6,60.3,86,25.25,500.8,42.4,6.42,Alluvial
3695,Okra,105.9,54,58.3,34.95,908.9,69.1,6.02,Black
3696,Nutmeg,91.4,46.6,85.4,22.57,3042.2,93.7,6.85,Red
3697,Wheat,126.4,53.2,52.5,15.68,622,40.1,6.79,Alluvial
3698,Mace,60,57.3,110,27.14,2527.9,94,6.53,Coastal
3699,Little Millet,37.5,23.9,21,30.18,698.2,50.4,7.1,Red
3700,Horse Gram,28.4,37,22,29.86,577.6,60.7,7.25,Sandy
3701,Sweet Potato,74.4,48.8,144.2,25.35,858,76.3,6.38,Sandy
3702,Kalmegh,40.6,42,49.3,30,1465.4,68.1,7.21,Forest
3703,Karakunda,79.7,47.2,54.3,21.64,1408.9,76.1,6.81,Forest
3704,Ber,46.5,44.5,58,37.6,372.3,35.4,7.7,Arid
3705,Bamboo,160.4,70.5,113.6,20.79,1476.7,76.9,5.93,Forest
3706,Pomegranate,92.8,43.9,98.8,35.99,811.4,47.2,8.34,Loamy
3707,Jackfruit,110.5,57.7,100.4,25.16,2065.4,77.2,5.77,Laterite
3708,Sunn Hemp,28,42.8,39.9,27.22,987.8,61.7,6.24,Loamy
3709,Nutmeg,88.2,53,82.7,28.53,3326.7,77.6,6.9,Coastal
3710,Star Anise,70,54.6,58.9,21.95,1742.2,76.8,6.54,Mountain
3711,Fig,76.4,40.2,90.3,29.85,639.7,45.1,6.8,Sandy
3712,Litchi,120.9,79.5,93.9,26.57,1678.1,74.5,6.83,Alluvial
3713,Amla,60.9,47.9,59.1,33.77,848.5,54.4,8.17,Red
3714,Marigold,75.1,66.1,64.2,27.63,726.9,62,6.94,Loamy
3715,Pomegranate,94,56.5,69.3,20.62,765,41.7,7.6,Sandy
3716,Nutmeg,88.5,52.7,86,21.26,3377.6,79,5.75,Coastal
3717,Rice (Paddy),116.2,45.7,56.4,30.78,2237.6,80.8,6.03,Peaty/Marshy
3718,Little Millet,39.5,24,21.5,29.84,639.9,52.6,6.18,Red
3719,Chironji,47.2,41.5,45.5,23.5,620.7,54.4,6.43,Laterite
3720,Little Millet,36.3,23.4,24.9,25.63,580.4,43.6,6.86,Red
3721,Castor Seed,75.8,44.3,38.1,29.76,748.2,52.2,6.72,Sandy Loam
3722,Litchi,100.3,75,95.7,20.73,1744.5,77.4,6.34,Alluvial
3723,Lettuce,83.2,53.6,55.8,7.01,600.3,72,6.5,Peaty
3724,Karakunda,73.9,58.5,53.9,31.5,1649.2,71.1,7.04,Mountain
3725,Soybean,37.8,67.7,57.3,29.41,795,59.9,6.68,Black
3726,Bottle Gourd,72.7,50.9,76.5,27.58,697.2,63.4,7.38,Alluvial
3727,Vanilla,80.6,51.5,82.6,29.01,3129.8,77,6.45,Laterite
3728,Cardamom,86,91.3,162.3,21.27,2815.1,94.3,6,Red
3729,Sesame,47.2,30,22.8,28.42,476.2,46.3,6.01,Alluvial
3730,Mushrooms,16.1,5.5,5.9,25.27,0,94.1,7.49,Peaty/Organic Waste
3731,Carrot,90.4,78.6,110.3,22.26,830.1,70,6.22,Alluvial
3732,Sugarcane,228,83,133.9,31.57,2499.1,80.8,7.28,Alluvial
3733,Walnuts,191.8,113.4,133.6,-4.63,1169.8,53.9,7.04,Forest
3734,Niger Seed,57,45.4,38.3,24.65,857.7,57.3,6.38,Laterite
3735,Marigold,69.4,81.9,72.2,18.77,703.3,69.9,6.55,Red
3736,Broccoli,129.9,86.1,90.7,13.45,624.4,79.4,6.68,Loamy
3737,Guava,71.2,44.2,64,29.19,1531.3,70.2,6.71,Red
3738,Shatavari,52.7,53.5,51.6,24.26,859.9,74.5,7.93,Red
3739,Mentha,129.5,52.5,59.1,29.32,1069,69.1,6.48,Loamy
3740,Mentha,122.7,53.6,55,30.86,1322.4,66.9,7.09,Alluvial
3741,Lemongrass,71.3,45,41.5,23.26,2053.6,83.3,6.45,Red
3742,Drumstick,59.4,45.4,56.1,35.62,995,67.6,7.77,Sandy
3743,Niger Seed,58.8,48.2,35.4,25.08,960.9,55.5,5.98,Red
3744,Pomegranate,86.1,57.4,67.8,29.72,785.1,42.1,6.66,Sandy
3745,Jasmine,119.3,116.9,115.9,29.12,1540.8,73.9,6.54,Loamy
3746,Mentha,137.6,52.4,56.7,24.12,1259.1,68.8,6.11,Peaty
3747,Amla,69.6,57.1,49.2,31,773.4,67.5,7.93,Alluvial
3748,Peach,120.5,69.4,99,-1.2,1154.7,68.4,6.49,Forest
3749,Rubber,100.9,75.6,80.9,33.8,3770.9,80.9,4.76,Laterite
3750,Jowar,94.4,43.5,41.8,25.73,703.2,41,7,Alluvial
3751,Proso Millet,37,21.7,23,22.81,535.4,39.8,6.52,Loamy
3752,Bitter Gourd,74,55.6,65.4,31.96,784.8,55.2,6.62,Alluvial
3753,Carrot,88.8,63,111.7,22.37,829.5,74.3,6.14,Alluvial
3754,Pumpkin,66.2,54.7,75,32.33,737.6,62.1,6.93,Red
3755,Broccoli,143.6,93.1,92.3,23.43,583.1,77,6.96,Loamy
3756,Stevia,94.8,63.5,71.3,28.21,1641.9,74.1,6.55,Loamy
3757,Lettuce,90,43.6,56.6,7.41,495.9,74.4,6.46,Peaty
3758,Cashew Nut,60.6,34.9,56.4,31.47,1737.8,67,6.97,Red
3759,Coffee,114.2,57.9,149.8,21.37,1935.9,84,6.27,Red
3760,Toria,62.7,49.9,36.9,13.8,499.9,57.4,7.36,Loamy
3761,Cumin,41.8,29.9,26.6,28.74,358.5,31.8,7.45,Sandy Loam
3762,Sunflower,96.2,62.6,53.7,23.4,628.8,58.8,7.68,Loamy
3763,Rose,127.7,127.4,135.8,29.45,1350.2,66.5,6.64,Alluvial
3764,Grapes,102.2,198.2,222.4,29.79,714.3,72.1,7.57,Loamy
3765,Coriander,62.6,47.7,48.6,15.43,561.7,55.1,6.08,Alluvial
3766,Peach,127.4,77.6,88.9,4.3,881.1,74.5,6.01,Loamy
3767,Horse Gram,25.3,32.2,24.8,20.34,454.4,53,6.67,Laterite
3768,Tea,151.6,48.2,61.1,27.1,2550.9,94.6,4.61,Red
3769,Sweet Corn,121.5,68.8,47.2,23.13,785.3,74.2,6.81,Alluvial
3770,Star Anise,74.6,40.5,52,24.95,2293.1,72.4,5.84,Mountain
3771,Broccoli,140.9,96.7,97.2,23.98,818.3,83.7,6.01,Loamy
3772,French Bean,71.7,85.6,42,20.95,956,71.8,5.78,Loamy
3773,Avocado,106,51.9,136.9,28.55,1311,63,5.1,Laterite
3774,Stevia,90.6,61.7,75.3,25.79,1276.6,86.4,7.26,Red
3775,Jackfruit,119.9,42.8,95.5,25.93,1793.1,78.8,6.64,Alluvial
3776,Safflower,48.9,43.4,23.8,28.62,487.6,50.2,7.3,Alluvial
3777,Mentha,142.7,59.8,59.7,21.67,1283.2,77.4,7.4,Loamy
3778,Kodo Millet,39.2,24.7,25,31.37,443,36.7,6.18,Arid
3779,Opium Poppy,80.8,78.1,74.4,21.45,508,61.1,6.44,Alluvial
3780,Betel Vine,157,142.6,142.9,27.26,2097.2,92.7,6.86,Clayey
3781,Khesari,23.3,40.4,28.3,21.11,440.5,47.7,7.98,Clayey
3782,Lettuce,85.5,58.2,42.8,5.13,608.9,76.5,6.72,Loamy
3783,Makhana,65.3,53.5,42.9,27.73,2240.3,86.4,6.17,Marshy (Stagnant Water)
3784,Cabbage,139.6,91,85.6,23.55,777.7,80.4,6.39,Alluvial
3785,Mace,68.8,40.5,102.7,29.44,3092.2,84.7,6.9,Coastal
3786,Bottle Gourd,73.9,57.3,75.6,30.23,556.1,56,6.88,Sandy Loam
3787,Rajma,101.2,66.9,57.4,22.07,851.2,79.9,5.95,Loamy
3788,Chironji,47.2,30.7,49.6,26.05,751.1,43.9,6.23,Laterite
3789,Linseed,75.4,40.3,21.5,26.75,593.7,51.5,6.44,Black
3790,Ashwagandha,45.1,59.9,32,25.85,660.1,44.1,8.44,Red
3791,Capsicum,117.1,90.8,119.3,19.53,975.7,69.1,6.96,Forest
3792,Chili,113.3,72,78.1,25.3,911.3,71.1,6.81,Loamy
3793,Oil Palm,167.5,87.1,165.6,29.76,3376.6,89.8,5.84,Laterite
3794,Opium Poppy,87.8,66.6,63.5,6.45,743.1,53.1,6.83,Alluvial
3795,Brinjal,122.5,63.7,63.4,31.25,680.5,77.7,6.45,Loamy
3796,Lettuce,84.2,53.2,52.5,13.51,419.1,69.8,6.43,Loamy
3797,Almonds,172.4,86.5,128.3,11.27,559.4,48.7,7.54,Mountain
3798,Amla,87.4,48,43.9,38.9,766.7,47.9,8.75,Alluvial
3799,Okra,115.4,58.5,53.7,28.29,753.3,68.8,6.9,Alluvial
3800,Mace,70.2,51.7,94.3,28.51,2642.6,82.9,5.84,Coastal
3801,Custard Apple,40.2,47,49.1,26.18,872.4,62.9,7.27,Gravelly
3802,Mace,62.4,46.4,100.2,22.66,2746.8,80.2,6.59,Red
3803,Cherry,134.7,98.8,120.6,13.04,1163.4,75.1,6.27,Karewa
3804,Barnyard Millet,35,21.9,24.8,29.47,572.8,53.2,5.66,Red
3805,Onion,141.6,53.4,81.7,24.94,589.3,68.7,6.52,Loamy
3806,Banana,219.7,81.1,248.7,23.58,1657.3,85.6,7.05,Alluvial
3807,Pear,110.1,67,85,1.63,1011.5,71.2,6.37,Loamy
3808,Brahmi,79.2,41.6,47.8,30.74,2840,80.9,6.87,Alluvial
3809,Pineapple,119.6,45.7,148.4,24.88,1596,73.6,4.82,Red
3810,Pear,120.7,71,107.5,6.33,1180.6,71.4,6.42,Forest
3811,Star Anise,68.2,46,44.1,25.59,1947.3,78.5,6.09,Forest
3812,Fig,64.8,54.9,88.8,35.4,538.9,59.2,7.06,Sandy
3813,Ginger,101.6,58.7,127.6,21.88,1512.8,89.8,5.8,Red
3814,Brahmi,63.1,46.2,42.1,30.2,2147.4,88,7.46,Peaty/Marshy
3815,Lettuce,94.9,57.4,49.2,19.14,454.2,71.6,6.26,Alluvial
3816,Ashwagandha,48.6,42.8,38.2,34.02,514.3,61.4,7.86,Sandy Loam
3817,Rice (Paddy),101.7,49.5,41.8,33.15,1543.3,82.5,6.43,Clayey
3818,Tomato,117.1,80.2,143.9,26.58,638.7,78.3,6.23,Alluvial
3819,Pineapple,138.7,42.7,109.9,22.41,1658.7,88.4,5.21,Laterite
3820,Turmeric,128.1,63.2,145.1,27.09,2558.3,82.1,6.35,Red
3821,Safflower,49.7,40.1,26.2,29.66,684.3,40.9,6.1,Saline
3822,Watermelon,71,67.6,89,30.33,458.3,46.1,6.6,Arid/Desert
3823,Fennel,88.2,56.9,55.1,17.45,417.7,67.2,7.67,Saline
3824,Isabgol,44.2,31.2,38.7,18.23,218,47,7.05,Sandy Loam
3825,Black Gram,23.8,58.1,29.9,34.49,941.7,53.4,7.58,Alluvial
3826,Pear,141.7,76.1,99.9,12.09,963.3,60.3,6.9,Mountain
3827,Bitter Gourd,66.2,48.2,65.7,32.06,644.3,72.3,6.05,Alluvial
3828,Apricot,122.3,68.7,119.6,22.19,876,51.6,7.05,Karewa
3829,Ash Gourd,67.6,53.2,66,27.16,623.1,65.6,7.28,Alluvial
3830,Safflower,40.8,48.5,22.3,24.49,658.9,40.1,7.37,Alluvial
3831,Cotton,148.7,72.3,73.6,34.08,1180.4,54.9,8.17,Black (Regur)
3832,Pumpkin,60.6,40.5,74.8,23.92,684.4,64.2,6.3,Red
3833,Niger Seed,57.6,44.3,37.1,28.08,983.6,67.6,7.45,Laterite
3834,French Bean,65,88.1,48.4,22.29,929.8,60.2,6.38,Alluvial
3835,Barley,69.8,34.8,27,13.19,495.2,44.8,7.79,Saline
3836,Lemongrass,77.7,44.2,44.8,28.02,2500,89.2,7.02,Red
3837,Opium Poppy,81.6,64.4,74.7,13.57,506,50.2,6.38,Loamy
3838,Moth Beans,17.9,32.3,24.2,34.32,381,39.6,8.38,Sandy
3839,Kinnow,104.9,77.1,105.7,22.03,747.3,54.7,7.45,Sandy Loam
3840,Date Palm,103.2,47.7,110.9,33.05,220.6,35.4,8.3,Saline
3841,Peach,102.6,67.7,107.8,4.36,965.8,67.3,5.89,Mountain
3842,Fennel,81.9,54.7,58.6,22.79,674.3,58,7.17,Loamy
3843,Pumpkin,76.6,46.2,68.6,31.54,650.8,64.4,6.1,Red
3844,Garlic,101.1,53.6,90.3,21.22,810.2,53.6,6.84,Loamy
3845,Gokhru,30.8,25.7,25.6,36.61,571.3,48,7.03,Arid/Desert
3846,Muskmelon,65.9,79.2,95,37.73,443.6,54.7,6.96,Sandy
3847,Rose,123.7,143,143.5,21.43,1390.3,75.1,6.77,Loamy
3848,Grapes,125.7,195.6,227.3,23.41,682.9,56.7,7.54,Sandy
3849,Dragon Fruit,70.9,56.6,81.6,26.19,935.7,50.3,6.57,Sandy
3850,Bajra,60.1,31.3,36.3,32.7,576.1,46.3,7.39,Arid/Desert
3851,Ginger,102.4,55.4,111.2,23.14,2320.6,85.6,6.4,Laterite
3852,Mentha,142.1,58.6,56,21.69,1242.5,78.5,6.23,Loamy
3853,Jasmine,119.6,116.1,117.4,25.35,1109.8,70.2,7.37,Red
3854,Watermelon,77.5,65.3,95.2,25.81,415.7,54.2,7.12,Arid/Desert
3855,Carrot,91.1,90.5,113.5,18.57,608.6,72.8,6.96,Forest
3856,Sesame,49.4,38.2,32.8,32.54,457.1,61.1,6.98,Sandy
3857,Cowpea,39.7,53.7,25.6,34.96,529.3,64.4,6.36,Sandy
3858,Hemp (Mesta),63.3,42.9,50.5,27.83,683,69.6,6.42,Red
3859,Capsicum,114.7,94,116.7,28.19,883.7,62,6.18,Loamy
3860,Lentil,21.4,48.1,22.6,23.81,613.2,52.2,6.68,Loamy
3861,Cocoa,143.6,76.3,138.4,28.07,1551.2,88,6.75,Forest
3862,Apple,198.8,117.4,195.8,15.35,919.8,50.5,6.53,Mountain
3863,Sunn Hemp,25.3,50.1,38.5,27.3,742.4,69.1,5.93,Alluvial
